[[  5. 174.]
 [  5. 173.]
 [  5. 173.]
 [  5. 172.]
 [  5. 170.]
 [  5. 168.]
 [  4. 165.]
 [  4. 161.]
 [  3. 158.]
 [  3. 153.]
 [  2. 148.]
 [  1. 139.]
 [  1. 131.]
 [  1. 121.]
 [  2. 112.]
 [  3.  97.]
 [  5.  88.]
 [  7.  80.]
 [  7.  74.]
 [  9.  67.]
 [ 10.  59.]
 [ 11.  52.]
 [ 12.  50.]
 [ 15.  46.]
 [ 17.  43.]
 [ 19.  43.]
 [ 20.  41.]
 [ 21.  41.]
 [ 22.  39.]
 [ 22.  38.]
 [ 22.  37.]
 [ 22.  37.]
 [ 22.  36.]
 [ 22.  36.]
 [ 22.  35.]
 [ 21.  35.]
 [ 22.  35.]
 [ 21.  34.]
 [ 21.  34.]
 [ 21.  33.]
 [ 21.  33.]
 [ 21.  33.]
 [ 21.  34.]
 [ 20.  34.]
 [ 19.  35.]
 [ 19.  35.]
 [ 18.  36.]
 [ 17.  38.]
 [ 17.  40.]
 [ 17.  43.]
 [ 15.  46.]
 [ 14.  48.]
 [ 13.  51.]
 [ 12.  55.]
 [ 13.  61.]
 [ 13.  64.]
 [ 12.  70.]
 [ 12.  76.]
 [ 11.  82.]
 [ 10.  88.]
 [ 10.  93.]
 [  8. 102.]
 [  7. 110.]
 [  6. 118.]
 [  5. 125.]
 [  4. 130.]
 [  3. 136.]
 [  1. 139.]
 [  1. 143.]
 [  0. 145.]
 [  1. 150.]
 [  2. 152.]
 [  2. 154.]
 [  4. 155.]
 [  5. 157.]
 [  5. 159.]
 [  6. 161.]
 [  7. 163.]
 [  7. 164.]
 [  7. 165.]
 [  7. 167.]
 [  8. 168.]
 [  8. 168.]
 [  8. 168.]
 [  8. 169.]
 [  8. 169.]
 [  8. 169.]
 [  8. 169.]
 [  8. 169.]
 [  7. 170.]
 [  7. 171.]
 [  6. 171.]
 [  6. 170.]
 [  6. 169.]
 [  5. 168.]
 [  5. 165.]
 [  4. 161.]
 [  4. 158.]
 [  3. 153.]
 [  3. 148.]
 [  3. 138.]
 [  2. 130.]
 [  1. 122.]
 [  0. 113.]
 [  1. 101.]
 [  2.  89.]
 [  4.  83.]
 [  6.  75.]
 [  7.  68.]
 [  9.  61.]
 [ 10.  57.]
 [ 10.  53.]
 [ 10.  52.]
 [ 12.  48.]
 [ 14.  44.]
 [ 16.  42.]
 [ 18.  42.]
 [ 19.  40.]
 [ 21.  39.]
 [ 21.  38.]
 [ 21.  37.]
 [ 22.  37.]
 [ 22.  36.]
 [ 22.  36.]
 [ 22.  36.]
 [ 22.  36.]
 [ 22.  35.]
